data,valor,serie,fonte,codigo
2015-08-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-09-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-10-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-11-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-12-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-01-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-02-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-03-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-04-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-05-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-06-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-07-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-08-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-09-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-10-01,14.05,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-11-01,13.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2016-12-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-01-01,13.17,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-02-01,12.82,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-03-01,12.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-04-01,11.59,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-05-01,11.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-06-01,10.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-07-01,10.01,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-08-01,9.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-09-01,8.35,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-10-01,8.01,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-11-01,7.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2017-12-01,7,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-01-01,6.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-02-01,6.72,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-03-01,6.58,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-04-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-05-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-06-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-07-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-08-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-09-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-10-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-11-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2018-12-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-01-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-02-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-03-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-04-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-05-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-06-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-07-01,6.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-08-01,5.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-09-01,5.71,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-10-01,5.38,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-11-01,4.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2019-12-01,4.59,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-01-01,4.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-02-01,4.19,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-03-01,3.95,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-04-01,3.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-05-01,3.01,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-06-01,2.58,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-07-01,2.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-08-01,1.94,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-09-01,1.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-10-01,1.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-11-01,1.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2020-12-01,1.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-01-01,1.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-02-01,1.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-03-01,2.23,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-04-01,2.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-05-01,3.29,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-06-01,3.76,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-07-01,4.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-08-01,5.01,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-09-01,5.43,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-10-01,6.3,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-11-01,7.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2021-12-01,8.76,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-01-01,9.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-02-01,10.49,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-03-01,11.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-04-01,11.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-05-01,12.51,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-06-01,12.89,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-07-01,13.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-08-01,13.58,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-09-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-10-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-11-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2022-12-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-01-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-02-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-03-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-04-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-05-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-06-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-07-01,13.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-08-01,13.19,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-09-01,12.97,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-10-01,12.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-11-01,12.17,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2023-12-01,11.87,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-01-01,11.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-02-01,11.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-03-01,11,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-04-01,10.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-05-01,10.46,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-06-01,10.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-07-01,10.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-08-01,10.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-09-01,10.5,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-10-01,10.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-11-01,11.04,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2024-12-01,11.77,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-01-01,12.24,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-02-01,13.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-03-01,13.57,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-04-01,14.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-05-01,14.55,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-06-01,14.74,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-07-01,14.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-08-01,14.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-09-01,14.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-10-01,14.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-11-01,14.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2025-12-01,14.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2026-01-01,14.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2026-02-01,14.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2026-03-01,14.8,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2026-04-01,14.64,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2026-05-01,14.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
