nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,periodo,mes,secoes_e_atividades_industriais_cnae_2_0_codigo,secoes_e_atividades_industriais_cnae_2_0,periodo_numerico,data,base,fonte,codigo,grandes_categorias_economicas_codigo,grandes_categorias_economicas,ajuste_sazonal,serie
1,Brasil,30,Número-índice,9492877,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201503,março 2015,129314,1 Indústria geral,201503,2015-03-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,9308897,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201504,abril 2015,129314,1 Indústria geral,201504,2015-04-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,9221915,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201505,maio 2015,129314,1 Indústria geral,201505,2015-05-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,9127913,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201506,junho 2015,129314,1 Indústria geral,201506,2015-06-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8967901,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201507,julho 2015,129314,1 Indústria geral,201507,2015-07-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,9016209,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201508,agosto 2015,129314,1 Indústria geral,201508,2015-08-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8811510,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201509,setembro 2015,129314,1 Indústria geral,201509,2015-09-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8793551,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201510,outubro 2015,129314,1 Indústria geral,201510,2015-10-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8639855,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201511,novembro 2015,129314,1 Indústria geral,201511,2015-11-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8505906,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201512,dezembro 2015,129314,1 Indústria geral,201512,2015-12-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8595620,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201601,janeiro 2016,129314,1 Indústria geral,201601,2016-01-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8497639,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201602,fevereiro 2016,129314,1 Indústria geral,201602,2016-02-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8541739,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201603,março 2016,129314,1 Indústria geral,201603,2016-03-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8546731,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201604,abril 2016,129314,1 Indústria geral,201604,2016-04-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8564959,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201605,maio 2016,129314,1 Indústria geral,201605,2016-05-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8473190,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201606,junho 2016,129314,1 Indústria geral,201606,2016-06-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8530616,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201607,julho 2016,129314,1 Indústria geral,201607,2016-07-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8360989,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201608,agosto 2016,129314,1 Indústria geral,201608,2016-08-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8446721,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201609,setembro 2016,129314,1 Indústria geral,201609,2016-09-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8339647,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201610,outubro 2016,129314,1 Indústria geral,201610,2016-10-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8419202,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201611,novembro 2016,129314,1 Indústria geral,201611,2016-11-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8556174,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201612,dezembro 2016,129314,1 Indústria geral,201612,2016-12-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8618953,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201701,janeiro 2017,129314,1 Indústria geral,201701,2017-01-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8740096,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201702,fevereiro 2017,129314,1 Indústria geral,201702,2017-02-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8569221,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201703,março 2017,129314,1 Indústria geral,201703,2017-03-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8586223,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201704,abril 2017,129314,1 Indústria geral,201704,2017-04-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8611421,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201705,maio 2017,129314,1 Indústria geral,201705,2017-05-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8680805,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201706,junho 2017,129314,1 Indústria geral,201706,2017-06-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8708862,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201707,julho 2017,129314,1 Indústria geral,201707,2017-07-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8707920,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201708,agosto 2017,129314,1 Indústria geral,201708,2017-08-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8746627,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201709,setembro 2017,129314,1 Indústria geral,201709,2017-09-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8822461,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201710,outubro 2017,129314,1 Indústria geral,201710,2017-10-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
